PlayerID, CurrentMissionType, TotalMissionsPlayerHasHadSoFar, ButtonPressType, ThisButtonPressNumber, TimeSinceReceivedMission
3, MissionKill, 0, UP, 1, 14.59563
4, MissionIntel, 0, UP, 1, 15.04706
2, MissionIntel, 0, UP, 1, 15.15382
1, MissionDefend, 0, UP, 1, 15.33665
3, MissionKill, 0, DOWN, 1, 17.3464
1, MissionDefend, 0, DOWN, 1, 17.50797
4, MissionIntel, 0, DOWN, 1, 17.50797
2, MissionIntel, 0, DOWN, 1, 17.63487
2, MissionIntel, 0, UP, 2, 19.42973
3, MissionKill, 0, UP, 2, 19.4725
1, MissionZone, 0, UP, 1, 0.7590969
4, MissionIntel, 0, UP, 2, 19.9773
3, MissionKill, 0, DOWN, 2, 21.77078
2, MissionIntel, 0, DOWN, 2, 21.97672
1, MissionZone, 0, DOWN, 1, 2.965685
4, MissionIntel, 0, DOWN, 2, 22.10791
