PlayerID, CurrentMissionType, TotalMissionsPlayerHasHadSoFar, ButtonPressType, ThisButtonPressNumber, TimeSinceReceivedMission
3, MissionKill, 0, UP, 1, 2.130306
3, MissionKill, 0, UP, 2, 36.26734
4, MissionKill, 0, UP, 1, 1.976767
3, MissionDefend, 0, UP, 1, 2.555239
1, MissionIntel, 0, UP, 1, 3.709165
2, MissionZone, 0, UP, 1, 3.857552
3, MissionDefend, 0, DOWN, 1, 5.245073
1, MissionIntel, 0, DOWN, 1, 5.517902
2, MissionZone, 0, DOWN, 1, 6.222
4, MissionKill, 0, UP, 2, 27.59091
4, MissionKill, 0, DOWN, 1, 31.26892
1, MissionIntel, 0, UP, 2, 41.51429
2, MissionIntel, 1, UP, 1, 1.710058
1, MissionIntel, 0, DOWN, 2, 42.78123
2, MissionIntel, 1, DOWN, 1, 3.291163
4, MissionKill, 0, UP, 3, 46.75875
1, MissionIntel, 0, DOWN, 3, 48.76066
1, MissionIntel, 0, DOWN, 4, 55.8594
4, MissionKill, 0, UP, 4, 118.8328
3, MissionIntel, 0, UP, 1, 33.36658
1, MissionIntel, 0, UP, 3, 125.0385
2, MissionDefend, 2, UP, 1, 8.167034
2, MissionDefend, 2, DOWN, 1, 10.97447
4, MissionKill, 0, UP, 5, 150.9546
3, MissionIntel, 0, UP, 2, 71.78143
3, MissionIntel, 0, UP, 3, 73.10137
3, MissionIntel, 0, UP, 4, 74.62821
3, MissionIntel, 0, DOWN, 1, 75.5236
2, MissionKill, 2, UP, 1, 3.017268
2, MissionKill, 2, DOWN, 1, 5.489607
1, MissionIntel, 0, UP, 4, 174.3061
4, MissionKill, 0, UP, 6, 175.7028
2, MissionIntel, 5, UP, 1, 15.48362
2, MissionIntel, 5, DOWN, 1, 17.05124
2, MissionIntel, 5, DOWN, 2, 21.9202
1, MissionIntel, 0, UP, 5, 198.899
1, MissionIntel, 0, DOWN, 5, 200.4455
2, MissionIntel, 5, DOWN, 3, 26.44698
1, MissionKill, 2, UP, 1, 6.531221
1, MissionKill, 2, DOWN, 1, 8.832018
1, MissionKill, 2, DOWN, 2, 12.0463
2, MissionIntel, 7, UP, 1, 1.171844
2, MissionIntel, 7, DOWN, 1, 2.605434
